Name,BSE Code,NSE Code,Industry,Current Price,Return over 1day,Market Capitalization,Sales,Profit after tax,Debt,Price to Earning,PEG Ratio,Dividend yield,Dividend Payout,Return on equity,Return on capital employed,EVtoSales,EVEBITDA,Sales growth,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Promoter holding,Enterprise Value,Return over 6months,Price to book value,Return over 1year,Return over 3years,Return over 5years,Average return on equity 3Years,Average return on equity 5Years,Return on assets,Historical PE 3Years,Historical PE 5Years,DMA 50,DMA 200
Dalmia BharatLtd,542216,DALBHARAT,Cement - South India,1942.15,-0.8,36424.56,14285,1212.28,5399,30.05,0.78,0.46,16.09,6.97,8.48,3.05,11.93,9.82,11.86,9.56,69.99,80.77,38.53,55.84,41229.56,-19.22,2.27,0.69,7.03,14.44,7.2,5.41,4.59,34.32,33.9,2042.54,2099.67
Damodar Indust.,521220,DAMODARIND,Textiles - Spinning - Synthetic / Blended,41.7,-0.83,97.16,754.44,3.09,249.77,31.44,-0.62,0,0,0.29,6.16,0.51,6.35,5.15,-3.84,1,-51.11,26.98,-50.66,70.63,345.94,-14.81,0.83,8.88,23.57,0.39,1.98,1.46,0.07,10.86,15.24,51.46,51.04
Dangee Dums,,DANGEE,Food - Processing - Indian,8.1,-4.14,124.72,25.09,-0.64,24.07,,,0,0,-2.98,5,5.81,20.99,0.48,-10.28,-6.79,-130.77,19.72,,64.45,148.43,-16.92,7.28,-41.94,-2.47,-8.06,-15.28,-7.39,-1.11,127.95,101.08,10.54,12.09
Danlaw Tech.,532329,,Electronics - Components,1871.75,5,911.67,197.71,17.99,32.89,50.68,1.12,0,0,22.64,21.22,5.62,27.41,29.53,121.69,55.8,122.92,61.64,45.37,61.88,939.88,181.97,20.05,328.42,91.21,82.52,8.41,2.76,7.17,35.95,40.26,1780.94,1287.72
Danube Industrie,540361,,Trading,4.61,-4.95,27.66,85.88,1.51,21.39,18.32,0.26,0,0,5.22,5.73,0.66,13.92,75.16,78.45,170.18,169.64,327.27,71.11,38.89,45.39,-43.09,1.69,-31.09,42.89,55.94,5.63,4.79,1.89,71.42,65.25,6.54,7.92
DAPS Advertising,543651,,Miscellaneous,26,3.13,13.45,26.31,1.61,0.22,8.35,0.47,1.92,13.06,23.32,30.94,0.22,2.69,60.93,13.88,5.07,147.71,90.59,17.8,65.14,6.45,-23.53,0.88,13.04,,,14.64,14.81,16.63,9.24,9.24,31.19,34.63
Darshan Orna,539884,,Trading,3.93,-3.44,19.66,18.32,0.99,0.54,19.86,,0,0,-0.77,-0.38,1.45,15.02,21.32,-8.67,-19.02,102.04,24.72,,44.37,19.98,32.77,1.37,43.43,11.96,-8.71,-0.3,-2.72,-0.75,32.24,36.24,4.18,3.82
Data Infr.Trust,543225,,Construction,100,-19.35,26030,,,30951.1,,,,0,3.84,6.31,5.04,,13.42,14.08,,27.6,32.52,,75,55930.6,-33.84,1.74,,,,0.53,,1.43,56.4,56.4,132.95,124.29
Data Pattern,543428,DATAPATTNS,Electronics - Components,2422,-1.39,13559.32,522.61,165.95,2.7,81.71,0.54,0.19,20.32,14.17,19.6,29.12,55.12,19.08,42.68,51.55,27.43,80.68,150.54,42.41,13204.73,15.27,11.28,79.04,,,18.92,17.69,11.52,62.82,62.82,2258.07,1998.43
Datamatics Glob.,532528,DATAMATICS,Computers - Software - Medium / Small,532.8,0.03,3143.73,1553.46,203.35,17.21,15.46,0.65,0.7,15.6,18.69,24.07,2.03,9.96,14.54,6.64,9.9,17.43,35.73,23.78,66.44,2967.47,-11.73,2.79,88.97,66.27,38.91,16.45,14.77,14.89,13.83,11.28,595.99,584.78
Daulat Securitie,530171,,Finance & Investments,30.43,-0.26,15.22,2.74,2.02,0,7.53,1.2,0,0,2.7,3.47,9.17,6.16,238.27,,8.74,1653.85,33.75,6.26,55.46,13.67,46.37,0.78,67.47,67.89,43.85,6.29,2.34,2.15,7.43,7.5,30.05,26.42
Davangere Sugar,543267,DAVANGERE,Sugar,76.85,0.52,723.04,241.09,16.25,245.81,44.49,1.55,0,0,4.72,8.41,3.45,17.12,0.78,11.33,34.48,114.1,79.66,28.78,74.35,964.87,-17.85,2.3,26.61,,,2.77,2.6,2.27,61.77,61.77,90.78,87.43
DB Intl.Stock,530393,DBSTOCKBRO,Finance & Investments,39.5,-4.13,138.25,38.89,7.94,1.81,17.41,0.28,0,0,11.82,16.94,1.58,3.27,19.15,40.83,38.09,-6.92,34.03,62.68,36.12,46.54,41.83,2.26,73.63,64.34,38.15,10.79,7.16,6.47,16.62,15.87,42.85,36.22
DC Infotech,543636,DCI,Trading,184.6,-0.35,239.98,401.22,9.56,32.05,25.1,,0,0,27.24,25.58,0.74,15.21,18.12,34.47,,55.19,57.27,,60,266.4,0.79,6.37,93,97.95,,20.82,,5.86,25,25.64,201.6,181.09
DCB Bank,532772,DCBBANK,Banks - Private Sector,119.4,1.44,3734.89,5096.72,522.51,45357.03,7.15,0.52,1.05,8.36,10.82,6.71,11.12,12,29.33,5.9,11.72,19.62,11.26,13.68,14.8,46723.5,-4.21,0.81,11.17,4.08,-10.22,9.23,9.72,0.96,8.9,9.25,127.97,124.87
DCM,502820,DCM,Castings & Forgings,72,0.07,134.48,71.44,-3.58,0.26,,,0,0,15.76,25.81,1.7,19.16,-0.97,-28,-40.85,-123.76,26.82,15.47,48.54,118.21,-25.81,9.64,2.2,44.53,17.07,,,1.83,9,9.17,79.8,78.78
DCM Financial,511611,DCMFINSERV,Finance & Investments,4.7,-2.08,10.4,0,-5.06,70.03,,,0,0,,-2.97,70.62,-124.47,-42.22,-16.86,-18.54,-5160,,,39.5,73.44,8.05,,28.77,55.5,38.87,,,-14.63,57.27,20,5.36,5.02
DCM Nouvelle,542729,DCMNVL,Textiles - Cotton/Blended,190.1,-3.55,355.06,1053.14,-6.72,245.89,,,0,0,4.32,5.18,0.69,15.35,20.12,,,-121.03,,,50.11,596,8.94,1.13,39.63,29.27,,,,2.35,2.83,2.83,191.58,178.41
DCM Shriram,523367,DCMSHRIRAM,Diversified - Mega,854.25,-0.72,13321.37,11243.23,515.97,1539.31,25.82,4.25,1.64,24.09,15.14,19.05,1.14,11.24,-3.91,14.13,10.85,-54.15,7.35,6.08,66.52,13166.93,-21.6,2.14,13.7,20.08,15.59,17.02,18.81,8.81,17.87,13.2,944.12,954.16
DCM Shriram Inds,523369,DCMSRIND,Sugar,183.2,3.59,1593.7,2105.93,108.27,313.72,14.72,36.8,0.55,14.46,8.61,10.05,0.79,7.78,-14.74,9.41,6.64,141.57,-14.94,0.4,50.11,1856.61,21.36,2.09,203.81,70.03,38.18,9.82,12.3,3.2,12.16,10.13,183.82,150.46
DCW,500117,DCW,Petrochemicals,51.4,-1.25,1517.1,1838.04,36.79,488.37,41.24,0.71,0.97,4.61,17.56,24.58,0.7,8.01,-33.23,27.28,17.27,-78.18,101.16,58.41,45.1,1831.07,-9.51,1.46,16.95,25.43,18.71,11.28,6.45,8.05,14.7,17.74,55.98,54.55
DCX Systems,543650,DCXINDIA,Electronics - Components,294.2,6.23,3276.99,1187.75,83.24,408.97,39.37,,0,0,20.92,13.12,2.42,23.72,6.32,40.79,,31.42,94.48,,62.29,3029.63,0.07,4.8,105.23,,,36.54,,6.62,32.93,32.93,312.24,304.93
DDev Plastiks,543547,,Chemicals,171.3,0.74,1772.56,2501.21,168.44,45.29,10.52,,0.58,9.04,23.49,32.38,0.72,6.78,1.73,,,128.05,,,74.86,1801.44,-15.66,3.14,138.78,,,,,11.3,16.55,16.55,193.38,184.71
De Neers Tools,,DENEERS,Trading,226,-0.07,194.5,94.33,6.91,54.2,28.15,,0,0,68.62,14.42,2.63,20.83,57.69,,,41.6,,,67.03,248.51,-4.24,3.18,,,,,,5.9,20.24,20.24,228.83,226.04
DE Nora India,590031,DENORA,Engineering,1624.9,4.47,862.82,85.25,25.67,0,33.61,0.53,0.12,5.24,22.1,29.67,11.56,24.22,0.48,15.12,22.18,42.14,35.84,63.42,53.68,850.74,7.55,8.02,94.61,85.88,40.89,17.97,15,19.38,30.91,32.82,1548.38,1513.99
Debock Industrie,,DIL,Engineering,7,-2.1,76.42,98.5,-2.48,16.54,,,0,0,19.28,22.39,0.63,-38.64,-40.76,98.67,52.78,-108.87,145.48,66.69,34.15,92.74,-23.91,0.55,-51.22,23.35,3.76,16.79,12.8,12.95,10.13,12.84,8.57,10.96
Dec.Gold Mines,512068,,Mining / Minerals / Metals,96.05,-3.22,1414.49,0.47,-15.68,93.84,,,0,0,-2.85,-2.37,4513.88,-143.64,62.07,,,-575.86,-1.78,1.18,25.93,1489.58,5.39,5.14,116.72,85.28,28.8,-4.63,-4.92,-2.66,,,112.59,103.38
Deccan Bearings,505703,,Trading,62.82,-4.99,13.72,0,-0.44,0,,,0,0,-73.44,-73.44,1365,-31.74,-100,-80.79,-68.7,-12.82,15.89,4.22,71.38,13.65,57.84,42.86,45.08,129.75,31.22,-38.98,-40.93,-68.12,,,47.62,41.17
Deccan Cements,502137,DECCANCE,Cement - South India,591,1.39,827.84,772.13,44.16,454.41,18.75,3.79,0.63,10.65,7.42,9,1.31,10.02,0.04,12.06,6.51,-23,-8.2,4.95,56.25,1024.86,9.39,1.18,43.88,12.9,7.33,14.94,14.49,4.62,8.68,7.93,594.87,556.91
Deccan Healthcar,542248,,Food - Processing - Indian,27.62,-1.67,56.28,59.61,1.7,0.71,33.11,-0.68,0,0,0.58,0.9,1.22,14.1,35.73,2.15,3.54,-80,-64.28,-49.02,16.12,55,-22.98,0.68,2.3,-1.61,-23.73,1.35,7.7,0.49,14.35,8.57,29.25,30.61
Decipher Labs,524752,,Pharmaceuticals - Indian - Formulations,14.77,0.68,14.92,35.07,-7.15,0,,,0,0,16.25,9.72,0.15,-1.17,-40.65,23.85,113.8,-301.98,51.83,84.52,16.43,6.73,-15.65,0.72,-0.54,-24.12,-9.99,29.83,27.65,10.98,5.71,19.58,17.45,19.01
Deco-Mica,531227,,Miscellaneous,59.17,-5.28,24.85,68.54,1.67,19.55,14.88,2.55,0,0,10.46,11.36,0.56,7.14,-16.49,17.27,8.94,43.97,37.67,5.83,70.05,43.57,-7.56,1.06,6.46,33.98,22.22,9.54,8.64,3.64,13.59,13.39,70.06,68.71
Deem Roll,,DEEM,Castings & Forgings,109.35,19.64,91.17,103.37,6.92,20.63,13.17,,0,0,16.83,19.33,1.06,8.28,12.73,,,68.78,,,67.1,109.73,,,,,,,,7.92,,,164.96,195.87
Deep Diamond,539559,,Diamond Cutting / Jewellery,5.91,0,18.91,7.67,1.26,0,15.01,,0,0,,,2.42,10.08,,,,,,,0.08,18.55,4.23,1.3,-44.66,62.39,42.38,,,,17.64,17.64,6.6,7.2
Deep Energy,532760,DEEPENR,Oil Drilling / Allied Services,178.3,-0.45,570.56,22.23,-0.01,36.17,,,0,0,0.51,0.76,17.9,1576.03,60.97,257.84,-36.05,-100.69,65.1,-51.61,67.99,598.89,16.54,1.43,79.29,70.93,11.71,0.23,0.16,0.37,335.36,280.17,180.45,162.69
Deep Industries,543288,DEEPINDS,Miscellaneous,308.5,0.7,1974.4,410.79,118.63,90.7,16.64,0.15,0.6,9.45,6.89,8.39,5.68,10.04,27.63,9.24,1.77,52.78,39.98,111.62,63.49,1939.4,15.39,1.38,131.73,,,7.57,9.03,6.05,11.88,11.88,261.35,239.33
Deep Polymers,541778,,Plastics Products,85.55,-5.89,206.86,107.42,8.83,47.6,23.43,0.68,0,0,14.85,13.9,2.07,15.97,-15.37,54.1,24.83,-13.77,82.83,34.51,64.59,249,-3.66,2.94,-7.45,31.56,23.91,16.9,15.29,7.49,49.67,29.99,97.27,98.24
Deepak,544036,,Dyes And Pigments,66.08,-1.4,71.79,46.7,6.31,1.21,11.38,,0,0,50.3,59.76,1.52,7.72,-13.53,,,49.17,,,73.05,70.77,,,,,,,,30.8,,,92.19,126.7
Deepak Fertiliz.,500645,DEEPAKFERT,Chemicals,504.1,3.58,6363.65,9385.35,482.6,4076.67,13.19,0.27,1.98,10.43,26.53,25.42,0.88,7.16,-10.77,34.11,13.52,-60.92,230.51,49.17,45.46,9910.32,-22.06,1.23,-6.64,30.61,31.64,22.1,16.35,11.88,10.3,10.64,530.39,591.73
Deepak Nitrite,506401,DEEPAKNTR,Chemicals,2125.5,-1.44,28990.34,7516.98,790.89,66.9,36.66,0.62,0.35,12.01,22.71,29.7,3.64,23.41,-4.64,23.52,37.01,-10.67,11.06,59.08,49.13,29020.51,0.24,6.68,17.96,9.34,50.62,31.5,32.07,17.64,31.11,27.8,2207.37,2173.45
Deepak Spinners,514030,,Textiles - Spinning - Synthetic / Blended,221.2,0.32,159.03,470.21,10.21,48.17,15.58,0.33,1.13,4.48,18.32,21.2,0.37,5.93,-20.44,6.81,5.02,-77.82,38.74,47.38,45.67,206.42,-9.03,0.67,1.28,34.98,17.44,17.3,15.01,12.13,5.45,5.68,242.61,249.31
Delaplex,,DELAPLEX,Computers - Software - Medium / Small,217.65,-2.16,198.28,54,7.91,0,25.07,,0,0,40.47,55.26,3.58,17.15,8.56,,,29.25,,,73.66,193.41,,,,,,,,35.71,,,265.76,303.9
Delhivery,543529,DELHIVERY,Couriers,445.55,-2.87,32827.47,7925.63,-335.51,913.43,,,0,0,-13.5,-11.4,4.58,65.53,6.56,37.48,,65.37,,,0,33110,7.96,3.59,36.27,,,-16.34,,-10.52,,,445.24,419.65
Delphi World,533452,DELPHIFX,Finance & Investments,218.75,-1.82,243.42,88.37,16.91,28.9,14.4,-0.95,0,0,7.54,11.17,1.92,6.61,14.35,-18.56,-58.24,57.16,-27.56,-15.09,75,187.87,-43.02,1.13,-35.83,-23.63,-15.99,11.59,12.42,4.95,27.88,24.65,261.11,319.38
Delta Corp,532848,DELTACORP,Recreation / Amusement Parks,110.65,-2.3,2962.89,1002.29,223,70.88,13.29,0.99,1.13,12.8,12.37,16.29,2.84,7.84,-0.95,9.69,10.93,-15.26,12.38,13.47,33.26,2898.04,-22.46,1.26,-37.75,-12.5,-15.36,5.05,6.82,10.94,23.78,24.62,133.23,156.43
Delta Industrial,539596,,Trading,27.21,-4.99,14.67,0,-0.11,0,,,0,0,2.67,3.7,,-122.17,-100,,,-150,146.62,,17.89,14.66,60.06,2.98,47.24,77.81,37.73,-0.61,-0.97,2.65,89.59,58.05,23.76,18.44
Delta Manufact.,504286,DELTAMAGNT,Electronics - Components,93.05,-1.53,100.97,82.01,-9.92,39.56,,,0,0,-32.3,-9.97,1.75,-128.78,-3.36,-13.73,2.13,37.1,-7.14,,72.08,139.08,4.08,3.14,38.26,44.17,4.97,-19.39,-19.29,-12.75,,,97.27,90.94
Delton Cables,504240,,Cables - Power,373.25,-0.19,322.49,349.57,3.08,107.42,104.7,6.8,0,0,1.01,13.8,1.55,16.43,45.89,29.35,30.1,-60.41,-54.82,15.39,73.58,422.41,214.18,5.26,502.21,122.58,82.97,1.14,0.51,0.33,19.8,8.31,385.87,259.36
Den Networks,533137,DEN,Entertainment / Electronic Media Software,47.05,-4.08,2245.34,1105.64,261.36,26.58,8.59,0.14,0,0,6.01,2.97,1.29,4.52,-3.94,-4.34,-2.53,65.57,62.97,59.9,74.9,1463.26,-6.46,0.68,76.88,-1.55,-8.08,3.54,1.95,5.1,10.88,11.88,54.34,50.32
Denis Chem Lab,537536,,Pharmaceuticals - Indian - Bulk Drugs & Formln,150.85,-2.58,209.33,167.7,9.2,1.66,22.75,0.77,1.33,35.32,11.33,16.06,1.15,8.4,5.54,5.84,8.48,14.57,23.13,29.72,38.98,184.97,39.74,2.8,137.67,57.51,14.31,8.45,8.57,8.03,17.63,16.53,135.5,117.2
Destiny Logistic,,DESTINY,Construction,27.2,-4.73,41.86,57.74,1.33,6.94,31.47,,0,0,9.6,13.64,0.86,17.22,55.55,103.3,,-6.34,245.94,,64.76,48.73,-46.82,1.56,82.55,,,11.74,,6.16,16.45,16.45,33.73,29.59
Dev Information,543462,DEVIT,Computers - Software - Medium / Small,101,0,223.55,164.41,8.47,9.64,26.39,6.53,0.25,6.16,12.49,15.22,1.84,16.78,47.47,21.9,12.28,53.72,27.41,4.04,71.31,228.65,-25.19,5,13.17,51.68,32.81,1.28,4.87,6.96,35.86,30.02,126.69,131.73
Dev Labtech,543848,,Diamond Cutting / Jewellery,100,3.25,82.71,41.6,1.76,1.11,46.99,,0,0,8.61,11.69,2.76,27.98,43,37.04,,137.84,,,68.01,83.66,69.12,4.1,99.16,,,9.79,,5.51,42.7,42.7,98.39,81.33
Devyani Intl.,543330,DEVYANI,Hotels,150.45,-0.86,18142.15,3264.21,138.82,1683.22,130.69,2.44,0,0,33.86,18.43,6.6,30.24,15.2,25.5,21.97,-53.32,57.13,53.66,62.74,19772.17,-29.81,17.52,4.95,,,,,10.68,89.72,89.72,161.68,176.61
Dhabriya Poly.,538715,,Plastics Products,254.5,-2.13,275.48,207.34,13.47,52.42,20.45,4.66,0.2,63.72,13.16,12.46,1.89,11.04,28.96,15.28,5.49,61.51,21.79,4.39,67.75,323.07,-24.2,3.65,106.41,75.35,29,10.32,10.62,6.17,21.5,17.25,301.27,298.74
Dhampur Bio,543593,DBOL,Sugar,115.25,-2.21,765.12,2204.72,87.28,281.96,8.77,,3.04,20.91,11.9,10,0.4,5.04,4.48,,,-14.35,,,50.63,967.92,-34.44,0.78,-7.32,,,,,5.45,9.91,9.91,133.77,150.53
Dhampur Sugar,500119,DHAMPURSUG,Sugar,207.8,-2.05,1379.53,2278.6,142.86,383.97,9.66,8.19,2.41,25.29,16.64,15.22,0.67,5.44,1.04,-10.96,-6,12.67,-9.29,1.18,49.08,1636.86,-31.88,1.31,-5.5,7.39,-0.27,14.64,16.5,7.5,10.52,8.84,238.02,254.45
Dhampur.Spl.Sug.,531923,,Sugar,79.84,-2.13,63.32,26.24,3.49,0,18.14,-9.4,0,0,1.25,1.63,2.92,12.73,21.59,42.44,20.24,1686.36,47.88,-1.93,56.27,62.87,60.68,2.31,82.62,54.62,38.09,1.43,1.11,0.96,20.67,20.41,85.98,71.37
Dhanada Corp.,531198,,Hotels,2.3,-4.96,12.86,7.86,-5.22,37.15,,,0,0,-331.4,-4.35,9.62,82.39,122.66,-24.23,-11.18,18.94,,,51.67,46.96,35.29,,-27.22,-29.45,-0.51,-68.92,-34.61,-17.02,,,2.33,3.08
Dhanalaxmi Roto,521216,,Trading,174.35,5,68,190.39,11.66,0.95,5.83,0.25,0.72,7.33,20.04,28.7,0.33,3.81,3.07,41.21,22.04,295.25,53.54,23.37,47.64,65.9,67.72,1.61,156.4,75.15,41.95,22.51,19.45,12.2,5.23,4.43,178.35,139.11
Dhanashree Elect,542679,,Electric Equipment,53,-0.09,75.21,64.73,3.03,58.83,24.82,12.73,0,0,8.17,10.8,2.7,13.24,36.85,2.5,-1.81,37.1,0.62,1.95,70.2,132.82,36.42,2.1,136.61,44.41,,6.81,7.99,2.93,13.64,13.56,59.83,54.54
Dhani Services,532960,DHANI,Finance & Investments,38.05,-2.93,2295.3,389.58,-484.92,831.63,,,0,0,-10.41,-5.05,4.25,-8.05,-53.05,-40.57,-9,7.73,,,31.25,2602.09,-9.51,0.64,48.63,-41.16,-34.93,-10.49,-4.38,-6.65,,23.22,39.2,40.45
Dhanlaxmi Bank,532180,DHANBANK,Banks - Private Sector,41.25,2.23,1043.67,1174.86,92.68,13844.03,11.26,0.35,0,0,5.22,4.56,13.11,17.86,13.84,2.75,1.12,167.78,-9.61,31.73,0,14041.07,41.51,1.09,184.48,41.21,18.98,4.57,4.74,0.34,11.3,9.95,43.35,33.46
Dhanlaxmi Cotex,512485,,Finance & Investments,62,2.79,30.2,27.01,2.65,0,11.4,-0.51,0,0,0.52,0.77,1.13,8.16,16.83,36.85,-3.45,440.82,-57.64,-22.43,68.37,28.63,-15.07,0.46,-34.04,67.98,20.06,3.38,4.17,0.52,20.12,19.14,71.2,73.65
Dhanlaxmi Fabric,521151,,Textiles - Products,51.16,-2.31,43.9,30.13,-4.51,0.95,,,0,0,0.62,3.38,0.53,-17.71,-67.31,0.13,1.66,-373.33,-62.11,-28.74,74.91,44.62,5.22,0.85,-9.03,49.21,11.91,0.85,4.77,0.46,29.71,26.5,55.71,51.76
Dhanuka Agritech,507717,DHANUKA,Pesticides / Agrochemicals - Indian,1025.85,0.94,4675.65,1761.46,245.38,31.49,19.05,1.68,0.78,3.91,21.32,27.01,2.77,13.08,6.93,14.93,12.05,10.23,15.29,11.37,70.18,4704.65,21.89,3.94,66.75,14.74,21.35,23.79,22.25,15.86,16.67,16.95,1047.18,947.78
Dhanuka Realty,,DRL,Construction,26.35,-4.87,20.4,0.95,-0.3,10.71,,,0,0,-11.18,-0.05,14.02,36.88,-75.32,-17.25,-38.15,33.33,6.71,,66.93,30.98,177.37,2.65,177.37,,25.1,-12.34,-11.73,-3.74,,16.2,19.6,16.18
Dhanvantri Jeev.,531043,,Healthcare,24.5,-0.28,10.05,19.99,0.24,0,41.88,,0,0,-2.34,-1.49,0.5,7.18,17.45,-0.98,5.17,140,4.89,,19.65,8.9,115.29,1.09,84.21,48.64,10.02,-4.05,-2.74,-1.56,13.67,12.87,22.92,17.23
Dharmaj Crop,543687,DHARMAJ,Pesticides / Agrochemicals - Indian,223.9,-0.27,756.72,611.7,44.63,72.51,16.96,,0,0,16.29,18.87,1.57,12.66,9.01,39.75,,30.46,45.44,,70.4,828.78,6.62,2.11,59.53,,,25.72,,10.06,16.65,16.65,237.31,232.16
Dharni Capital,543753,,Finance & Investments,44.51,0.02,90.67,6.52,2.18,0,41.59,,0,0,14.45,19.31,16.33,27.28,-66.1,192.01,,22.68,391.87,,73.64,81.3,66.27,5.75,106.54,,,24.42,,14.19,36.33,36.33,37.57,28.18
Dhatre Udyog,540080,,Steel - Medium / Small,23.7,4.87,258.22,178.51,10.46,0,24.69,1.08,0,0,12.05,16.3,2.41,17.01,167.67,-33.15,-32.73,103.5,30.31,22.79,89.6,257.88,101.87,3.97,203.07,127.23,50.79,,,11.45,3.52,12.77,21.09,15.98
Dhoot Indl.Fin,526971,,Trading,195.2,-0.54,123.33,21.99,120.81,69.66,1.02,0.04,0,0,0.42,0.01,5.44,1.34,-42.82,35.06,2.56,2205.53,27.5,23.19,69.07,191.87,91.79,0.31,237.13,73.85,43.04,7.11,2.78,0.32,2.73,2.8,191.6,145.37
DHP India,531306,,Engineering,676.8,-0.97,203.04,52.07,25.98,3.37,7.82,0.54,0.59,5.12,14.52,19.65,1.88,6.13,-60.15,25.2,15.83,-25.58,56.87,14.61,73.42,204.44,-23.31,1.04,-22.05,21.62,4.23,19.84,18.05,13.71,8.71,10.58,741.81,817.86
Dhruv Consultanc,541302,DHRUV,Miscellaneous,118.6,-0.17,180.22,77.83,5.58,22.48,32.3,-4.68,0.21,0,9.37,11.1,2.42,14.2,-3.26,18.54,13.35,26.53,74.32,-6.9,60.93,196.33,99.5,3.01,163.85,58.65,31.04,11.26,11.26,4.99,17.68,16.56,97.99,72.5
Dhruv Wellness,540695,,Trading,12.8,-4.69,13.49,0.22,0,18.67,,,0,0,,0.37,82.46,,-69.86,-79.04,-67.26,-100,26.01,-48.27,73.24,32.16,-28.53,,-40.41,-45.94,-31.73,,,0.32,685.62,600,17.97,56.14
Dhruva Cap.Serv.,531237,,Finance & Investments,447.8,-1.99,181.88,0.84,2.12,0.03,85.79,23.12,0,0,1.28,1.49,727.6,85.4,223.08,5.98,1.68,1827.27,25.99,3.71,54.18,181.9,302.52,17.16,1141.13,490.03,,1.38,1.05,1.2,44.67,43.39,355.98,205.06
Dhunseri Invest.,533336,DHUNINV,Finance & Investments,1142.95,-0.79,696.88,328.44,84.49,373.52,8.25,0.34,0.22,0.52,13.91,23.34,3.33,3.2,21.52,46.78,-38.69,-74.11,146.16,24.19,74.95,809.57,50.82,0.28,101.99,60.94,33.92,10.78,7.55,15.31,1.92,2.04,1208.14,1035.53
Dhunseri Tea,538902,DTIL,Tea,186.15,-1.46,195.6,390.94,-104.72,207.32,,,1.61,-13.25,-2.96,-2.1,1.17,-5.16,15.47,3.72,2.65,-1419.88,,,68.9,394.1,-17.76,0.29,0.32,2.39,4.74,3.19,2.49,-1.98,6.01,5.75,212.96,218.5
Dhunseri Vent.,523736,DVL,Finance & Investments,321.5,2.29,1125.89,280.02,193.75,373.42,5.81,0.1,1.56,3.23,23.12,27.98,5.36,4.48,7.51,49.17,-24.88,-67.45,128.47,60.18,75,1244.08,20.03,0.4,48.57,47.64,28.09,20.26,13.88,18.14,2.31,2.64,365.1,326.07
Diamines & Chem.,500120,DIAMINESQ,Chemicals,506.85,-3.07,495.9,110.34,24.37,0.18,20.35,0.52,1.18,6.95,35.97,48.4,4.29,13.35,15.94,16.77,23.43,-38.38,20.88,38.8,54.63,473.15,-4.77,3.44,26.14,25.32,33.33,28.06,30.19,32.28,15.31,13.63,526.59,517.42
Diamond Power,522163,DIACABS,Cables - Power,532.35,1.99,2805.33,223.07,-8.41,343.99,,,0,0,,-11.35,203.31,167.1,16423.7,,,84.03,,,11.41,3143.21,1456.58,,,773.04,219.46,,,-2.53,,,360.02,177.17
Diana Tea Co,530959,,Tea,25.12,0.04,37.66,74.87,0.2,33.58,188.3,,0,0,-3.86,-1.35,0.93,17.22,4.9,7.68,4.64,105.97,,,61.34,70.96,-6.82,0.49,15.97,15.86,11.01,4.75,2.76,-2.49,7.75,8.67,29.44,28.3
DIC India,500089,DICIND,Chemicals,420.35,-2,385.84,828.86,1.11,19.68,347.6,21.46,0.48,0,0.27,-0.07,0.43,20.01,-4.95,10.87,-0.22,-89.47,-52.7,16.2,71.75,358.43,-6.21,0.97,12.71,2.56,4.28,2.01,2.91,0.18,34.81,33.69,461.07,454.95
Diggi Multitrade,540811,,Construction,25,0.04,24.19,0.04,-0.05,0,,,0,0,-0.75,-0.75,604.75,-604.75,-99.44,-61.66,-61.97,-138.46,,,44.64,24.19,2.25,2.29,-0.99,72.15,15.6,0.03,0.08,-0.74,237.6,239.4,26.15,22.68
Digicontent,542685,DGCONTENT,Entertainment / Electronic Media Software,21.4,4.9,124.52,387.93,-2.41,134.6,,,0,0,,2.98,0.71,6.6,12.46,10.47,,73.1,17.21,,66.81,246.78,2.64,,42.67,44.45,,,,-6.44,43.71,43.71,20.55,19.36
Digidrive Dist.,544079,DIGIDRIVE,Trading,38.8,-2.88,149.62,42.93,4.65,0.44,32.18,,0,0,,,3.36,21.21,,,,,,,58.83,144.45,,,,,,,,,,,52.52,79.01
Digikore Studios,,DIGIKORE,Entertainment / Electronic Media Software,537.15,-3.39,340.17,34.44,4.37,10.4,77.84,1.29,0,0,117.47,75.72,9.34,42.99,38.42,58.25,35.9,829.79,317.62,60.25,66.55,321.54,,,,,,79.97,55.94,31.92,,,488.44,385.53
DigiSpice Tech.,517214,DIGISPICE,Computers - Software - Medium / Small,24.45,4.49,567.79,561.68,16.59,71.84,34.23,,0,0,-7,-4.13,0.27,7.59,-25.53,35.6,29.34,644.6,-14.14,,73,277.74,-30.04,2.76,28.68,-22.85,25.04,-1.12,-1.14,-2.5,162.62,51.81,29.6,29.55
Digjam,539979,DIGJAMLMTD,Textiles - Products,83.65,-0.54,167.3,27.11,-12.02,59.74,,,0,0,-26.23,-4.27,7.1,-29.67,-19.53,240.37,-11.55,-98.02,14.29,11.57,90,226.67,-8.83,8.19,1.89,158.37,80.22,-27.59,-52.67,-6.17,217.63,217.63,89.21,90.44
Diligent Indust.,531153,,Solvent Extraction,4.98,-0.8,56.95,100.26,1.76,50.24,32.36,1.18,0,0,14.57,8.96,0.88,17,-16.42,14.23,9.1,-5.88,65.1,27.54,61.33,107.13,-41.41,3.38,-32.06,44.81,26.96,10.02,7.79,2.93,62.62,58.62,5.48,7.32
