Name,BSE Code,NSE Code,Industry,Current Price,Return over 1day,Market Capitalization,Sales,Profit after tax,Debt,Price to Earning,PEG Ratio,Dividend yield,Dividend Payout,Return on equity,Return on capital employed,EVtoSales,EVEBITDA,Sales growth,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Promoter holding,Enterprise Value,Return over 6months,Price to book value,Return over 1year,Return over 3years,Return over 5years,Average return on equity 3Years,Average return on equity 5Years,Return on assets,Historical PE 3Years,Historical PE 5Years,DMA 50,DMA 200
U. H. Zaveri,541338,,Trading,30.74,4.99,31.34,17.05,1.43,0,21.92,0.56,0,0,5.9,7.82,2.24,17.31,-33.81,28.48,-3.13,34.91,202.45,38.99,54.45,31.16,-31.73,2.08,-16.47,81.99,34.83,3.67,2.46,5.67,38.9,41.64,41.86,44.05
U. Y. Fincorp,530579,,Finance & Investments,24.18,0.62,460,96.68,61.01,1,7.54,-0.99,0,0,3.11,4.45,7.95,5.48,50.66,46.87,19.32,133.22,41.25,-7.62,71.38,453.77,-10.48,1.49,94.06,98.32,43.38,2.8,2.42,2.59,19.32,12.84,26.97,25.43
Ucal,500464,UCAL,Auto Ancillaries,144.5,-1.93,319.49,731.58,-13.8,165.23,,,1.38,520.24,0.27,4.55,0.58,9.67,-9.48,4.01,0.06,-168.49,-62.84,-59.74,70.28,477.21,8.28,0.83,35.11,0.98,-2.1,5.82,7.51,0.14,11.72,9.89,153.26,144.37
UCO Bank,532505,UCOBANK,Banks - Public Sector,52.2,5.35,62410.1,20982.04,1709.22,269838.82,36.51,1.89,0,0,7.55,4.75,17.2,19.25,27.66,5.26,4.71,7.28,40.34,19.33,95.39,303520.82,19.86,2.42,112.63,68.3,22.66,4.16,-3.79,0.65,22.63,24.21,51.84,41.76
Udaipur Cement,530131,,Cement - North India,33.55,0.15,1880.6,1109.88,52.02,1294.74,36.15,1.6,0,0,11.09,7.15,2.83,17.07,12.03,14.56,22.35,37.73,32.13,22.59,75,2918.12,7.02,2.28,71.26,28.51,24.67,17.91,10,2.2,31.62,33.31,36.55,33.3
Uday Jewellery,539518,,Diamond Cutting / Jewellery,145.6,1.25,320.64,176.38,10.74,30.34,29.85,0.94,0,0,15.02,15.63,1.98,21.22,5.69,24.43,19.82,13.53,11.03,31.9,73.76,349.95,14.2,4.35,55.72,9.4,14.19,12.44,12.81,9.8,35,38.57,173.43,158.73
Udayshivakumar,543861,USK,Construction,48.15,-0.21,266.54,539.19,20.86,49.58,12.78,,0,0,15.21,18.32,1.02,7.15,123.96,13.97,,39.63,14.39,,65.94,291.6,37.38,1.73,,,,17.89,,7.12,12.11,12.11,52.12,43.21
Uflex,500148,UFLEX,Packaging,404.2,0.22,2918.73,13317.29,33.73,6424.08,86.53,6.4,0.74,4.51,8.26,10.35,0.54,5.4,-12.1,25.57,16.61,-96.33,17.06,13.51,44.58,7883.9,-12.17,0.4,21.66,2.65,12.14,13.95,12.01,3.8,4.37,4.55,433.2,449.65
UFO Moviez,539141,UFO,Entertainment / Electronic Media Software,134.45,0.11,518.72,377.44,10.05,94.59,51.61,,0,0,-4.95,-0.97,1.32,7.12,4.02,-7.62,-7.79,132.5,,,22.48,521.18,22.28,1.88,129.83,24.28,-10.59,-25.8,-7.25,-2.57,80.02,6.9,135.4,118.68
Ugar Sugar Works,530363,UGARSUGAR,Sugar,65.8,-1.64,740.25,1624.5,68.45,224.91,10.81,,0.76,5.46,60.16,27.28,0.51,5.22,29.54,27.27,,17.47,95.6,,44.34,923.64,-39.61,4.29,-28.01,58.26,32.68,47.36,,9.91,14.59,13.76,77.63,89.42
Ugro Capital,511742,UGROCAP,Finance & Investments,219.65,1.24,2039.12,934.52,100.7,3798.21,20.25,0.3,0,0,4.08,10.93,7.74,8.91,67.32,86.66,186.86,216.47,26.78,67.92,2.24,5288.9,-21.57,1.48,48.36,21.79,3.84,2.89,2.58,1.11,40.63,37.12,253.29,254.72
Ujjivan Fin.Ser.,539874,UJJIVAN,Finance & Investments,476.4,-0.85,5801.82,5678.19,820.87,34774.45,7.07,0.07,1.05,6.83,32.13,10.29,8.41,10.03,40.48,16.74,24.61,-0.2,46.85,102.61,0,38320.19,-14.78,1.59,92.72,31.42,6.49,6.29,7.71,3.81,7.54,9.8,529.41,498.6
Ujjivan Small,542904,UJJIVANSFB,Banks - Private Sector,44.3,0.23,8677.32,5333.45,1261.37,28179.14,6.88,0.04,2.82,22.21,33.29,10.63,8.25,9.06,40.42,15.49,23.19,37.56,46.49,176.09,73.6,34372.87,-18.11,2.16,76.49,13.62,,7.64,9.63,3.87,8.77,12.54,51.44,49.57
Ultra Wiring,,UWCSL,Auto Ancillaries,87.4,-5,45.48,44.33,2.21,6.22,20.58,1.52,0,0,13.68,16.91,1.16,11.71,50.48,33.91,20.13,47.33,35.42,13.56,74.13,51.62,-11.18,2.43,-7.22,42.04,22.64,10.61,10.08,6.68,17.83,16.57,105.94,71.86
Ultracab India,538706,,Cables - Power,12.4,-4.02,118.32,104.33,5.92,38.27,19.99,0.39,0,0,20.12,17.66,1.44,12.46,-3.73,17.66,16.94,14.29,76.17,50.81,27.9,154.06,-21.91,3.43,-24.21,-10.56,13.37,14.64,11.53,6.78,63.4,65.38,17.37,18.97
Ultramarine Pig.,506685,,Dyes And Pigments,331.4,-0.36,967.69,518.61,53.24,47.43,18.18,1.9,1.51,21.96,8.35,10.83,1.82,10.96,-6.34,20.93,14.31,-25.91,3.25,9.57,41.08,986.36,-17.29,1.16,1.84,3.47,4.76,9.79,11.08,7.28,17.47,15.21,370.84,378.97
UltraTech Cem.,532538,ULTRACEMCO,Cement - North India,9749.15,1.31,281450.17,69151.58,6409.56,11459.47,43.91,2.7,0.39,21.66,9.63,12.91,4.63,22.86,14.59,14.23,15.34,9.57,-3.91,16.24,59.96,292502.72,18.1,5.01,28.77,12.84,19.51,12.56,12.43,5.77,34.14,33.54,9754.15,9056.53
Uma Converter,,UMA,Packaging,24.4,-0.41,49.47,177.53,1.07,69.5,46.23,,0,0,1.85,6.24,0.67,8.76,-4.83,19.75,,-77.62,-27.6,,68.89,118.82,-29.78,0.7,-17.57,,,7.15,,0.68,11.71,11.71,28.32,30.99
Uma Exports,543513,UMAEXPORTS,Trading,89.95,-1.96,304.12,1564.81,10.13,149.03,30.02,,0,0,20.57,20.78,0.27,17.71,17.9,22.43,,-58.84,50.12,,72.54,398.35,75.68,1.68,143.77,,,22.97,,9.63,6.72,6.72,81.96,63.45
